survey_id,session_id,survey_type,timestamp,responses
1,1,pre,2026-03-09 22:29:24.574439,"{""experience"": ""0"", ""python_skill"": ""3""}"
2,1,pre,2026-03-09 22:30:42.134070,"{""experience"": ""0"", ""python_skill"": ""3""}"
3,1,pre,2026-03-09 22:30:42.137719,"{""experience"": ""0"", ""python_skill"": ""3""}"
4,1,pre,2026-03-09 22:30:42.141381,"{""experience"": ""0"", ""python_skill"": ""3""}"
5,1,pre,2026-03-09 22:30:42.143606,"{""experience"": ""0"", ""python_skill"": ""3""}"
6,1,pre,2026-03-09 22:30:42.145948,"{""experience"": ""0"", ""python_skill"": ""3""}"
7,1,pre,2026-03-09 22:30:42.148290,"{""experience"": ""0"", ""python_skill"": ""3""}"
8,1,pre,2026-03-09 22:30:42.150259,"{""experience"": ""0"", ""python_skill"": ""3""}"
9,1,pre,2026-03-09 22:30:42.153075,"{""experience"": ""0"", ""python_skill"": ""3""}"
10,1,pre,2026-03-09 22:30:42.156715,"{""experience"": ""0"", ""python_skill"": ""3""}"
11,1,pre,2026-03-09 22:30:42.159767,"{""experience"": ""0"", ""python_skill"": ""3""}"
12,1,post,2026-03-09 22:33:18.830028,"{""usefulness"": ""2"", ""frustration"": ""2""}"
13,1,pre,2026-03-09 22:33:24.639592,"{""experience"": ""0"", ""python_skill"": ""2""}"
14,1,pre,2026-03-09 22:36:28.217176,"{""experience"": ""0"", ""python_skill"": ""3""}"
15,1,pre,2026-03-09 22:45:37.246741,"{""experience"": ""0"", ""python_skill"": ""3""}"
16,1,post,2026-03-09 22:53:46.288078,"{""usefulness"": ""3"", ""frustration"": ""3""}"
17,1,pre,2026-03-09 22:53:53.846836,"{""experience"": ""1"", ""python_skill"": ""3""}"
18,4,pre,2026-03-09 23:04:13.912669,"{""experience"": ""0"", ""python_skill"": ""3""}"
19,5,pre,2026-03-09 23:05:39.362681,"{""experience"": ""0"", ""python_skill"": ""3""}"
